"SP","SPEC","CONF","COMMONNAME","SCINAME","SPEC6","CONF6","lowername"
NA,"BCNI",NA,"Buff-collared Nightjar","Antrostomus ridgwayi","ANTRID",NA,"buff collared nightjar"
NA,"EWPW",NA,"Eastern Whip-poor-will","Antrostomus vociferus","ANTVOC",NA,"eastern whip poor will"
NA,"DUNI",NA,"Dusky Nightjar","Antrostomus saturatus","ANTSAT",NA,"dusky nightjar"
NA,"MWPW",NA,"Mexican Whip-poor-will","Antrostomus arizonae","ANTARI",NA,"mexican whip poor will"
NA,"PRNI",NA,"Puerto Rican Nightjar","Antrostomus noctitherus","ANTNOC",NA,"puerto rican nightjar"
NA,"WTNI",NA,"White-tailed Nightjar","Hydropsalis cayennensis","HYDCAY",NA,"white tailed nightjar"
NA,"SPTN","*","Spot-tailed Nightjar","Hydropsalis maculicaudus","HYDMAC",NA,"spot tailed nightjar"
NA,"GRNI",NA,"Gray Nightjar","Caprimulgus jotaka","CAPJOT",NA,"gray nightjar"
NA,"OILB",NA,"Oilbird","Steatornis caripensis","STECAR",NA,"oilbird"
NA,"GRPO",NA,"Great Potoo","Nyctibius grandis","NYCGRA",NA,"great potoo"
NA,"CPOT","*","Common Potoo","Nyctibius griseus","NYCGRI",NA,"common potoo"
NA,"NORP","*","Northern Potoo","Nyctibius jamaicensis","NYCJAM",NA,"northern potoo"
NA,"BLSW",NA,"Black Swift","Cypseloides niger","CYPNIG",NA,"black swift"
NA,"WFSW",NA,"White-fronted Swift","Cypseloides storeri","CYPSTO",NA,"white fronted swift"
NA,"WCHS","*","White-chinned Swift","Cypseloides cryptus","CYPCRY",NA,"white chinned swift"
NA,"SFSW",NA,"Spot-fronted Swift","Cypseloides cherriei","CYPCHE",NA,"spot fronted swift"
NA,"CCSW",NA,"Chestnut-collared Swift","Streptoprocne rutila","STRRUT",NA,"chestnut collared swift"
NA,"WCSW",NA,"White-collared Swift","Streptoprocne zonaris","STRZON",NA,"white collared swift"
NA,"WNSW",NA,"White-naped Swift","Streptoprocne semicollaris","STRSEM",NA,"white naped swift"
NA,"CHSW",NA,"Chimney Swift","Chaetura pelagica","CHAPEL",NA,"chimney swift"
NA,"VASW",NA,"Vaux's Swift","Chaetura vauxi","CHAVAU",NA,"vauxs swift"
NA,"CHAS","*","Chapman's Swift","Chaetura chapmani","CHACHA",NA,"chapmans swift"
NA,"STSW",NA,"Short-tailed Swift","Chaetura brachyura","CHABRA",NA,"short tailed swift"
NA,"SISW",NA,"Sick's Swift","Chaetura meridionalis","CHAMER",NA,"sicks swift"
NA,"BRSW",NA,"Band-rumped Swift","Chaetura spinicaudus","CHASPI",NA,"band rumped swift"
NA,"CRSW",NA,"Costa Rican Swift","Chaetura fumosa","CHAFUM",NA,"costa rican swift"
NA,"GRSW",NA,"Gray-rumped Swift","Chaetura cinereiventris","CHACIN",NA,"gray rumped swift"
NA,"LASW",NA,"Lesser Antillean Swift","Chaetura martinica","CHAMAR",NA,"lesser antillean swift"
NA,"WTNE",NA,"White-throated Needletail","Hirundapus caudacutus","HIRCAU",NA,"white throated needletail"
NA,"MASW",NA,"Mariana Swiftlet","Aerodramus bartschi","AERBAR",NA,"mariana swiftlet"
NA,"COSW",NA,"Common Swift","Apus apus","APUAPU",NA,"common swift"
NA,"FTSW",NA,"Fork-tailed Swift","Apus pacificus","APUPAC",NA,"fork tailed swift"
NA,"ALSW",NA,"Alpine Swift","Apus melba","APUMEL",NA,"alpine swift"
NA,"WTSW",NA,"White-throated Swift","Aeronautes saxatalis","AERSAX",NA,"white throated swift"
NA,"LSTS",NA,"Lesser Swallow-tailed Swift","Panyptila cayennensis","PANCAY",NA,"lesser swallow tailed swift"
NA,"GSTS",NA,"Great Swallow-tailed Swift","Panyptila sanctihieronymi","PANSAN",NA,"great swallow tailed swift"
NA,"ANPS",NA,"Antillean Palm-Swift","Tachornis phoenicobia","TACPHO",NA,"antillean palm swift"
NA,"WNJA",NA,"White-necked Jacobin","Florisuga mellivora","FLOMEL",NA,"white necked jacobin"
NA,"WTSI",NA,"White-tipped Sicklebill","Eutoxeres aquila","EUTAQU",NA,"white tipped sicklebill"
NA,"BRHE",NA,"Bronzy Hermit","Glaucis aeneus","GLAAEN",NA,"bronzy hermit"
NA,"RBHE",NA,"Rufous-breasted Hermit","Glaucis hirsutus","GLAHIR",NA,"rufous breasted hermit"
NA,"BTBA",NA,"Band-tailed Barbthroat","Threnetes ruckeri","THRRUC",NA,"band tailed barbthroat"
NA,"GREH","*","Green Hermit","Phaethornis guy","PHAGUY",NA,"green hermit"
NA,"MEHE",NA,"Mexican Hermit","Phaethornis mexicanus","PHAMEX",NA,"mexican hermit"
NA,"LBIH","*","Long-billed Hermit","Phaethornis longirostris","PHALON",NA,"long billed hermit"
NA,"PBHE",NA,"Pale-bellied Hermit","Phaethornis anthophilus","PHAANT",NA,"pale bellied hermit"
NA,"STHR","*","Stripe-throated Hermit","Phaethornis striigularis","PHASTR",NA,"stripe throated hermit"
NA,"GFRL","*","Green-fronted Lancebill","Doryfera ludovicae","DORLUD",NA,"green fronted lancebill"
NA,"BRVI",NA,"Brown Violetear","Colibri delphinae","COLDEL",NA,"brown violetear"
NA,"MEVI",NA,"Mexican Violetear","Colibri thalassinus","COLTHA",NA,"mexican violetear"
NA,"LEVI",NA,"Lesser Violetear","Colibri cyanotus","COLCYA",NA,"lesser violetear"
NA,"TBHU",NA,"Tooth-billed Hummingbird","Androdon aequatorialis","ANDAEQ",NA,"tooth billed hummingbird"
NA,"PCFA",NA,"Purple-crowned Fairy","Heliothryx barroti","HELBAR",NA,"purple crowned fairy"
NA,"RTOH","*","Ruby-topaz Hummingbird","Chrysolampis mosquitus","CHRMOS",NA,"ruby topaz hummingbird"
NA,"GNBM","*","Green-breasted Mango","Anthracothorax prevostii","ANTPRE",NA,"green breasted mango"
NA,"BTMA",NA,"Black-throated Mango","Anthracothorax nigricollis","ANTNIG",NA,"black throated mango"
NA,"VEMA",NA,"Veraguan Mango","Anthracothorax veraguensis","ANTVER",NA,"veraguan mango"
NA,"ANMA",NA,"Antillean Mango","Anthracothorax dominicus","ANTDOM",NA,"antillean mango"
NA,"GMAG","*","Green Mango","Anthracothorax viridis","ANTVIR",NA,"green mango"
NA,"JAMA",NA,"Jamaican Mango","Anthracothorax mango","ANTMAN",NA,"jamaican mango"
NA,"PTCA",NA,"Purple-throated Carib","Eulampis jugularis","EULJUG",NA,"purple throated carib"
NA,"GTCA",NA,"Green-throated Carib","Eulampis holosericeus","EULHOL",NA,"green throated carib"
NA,"GRET","*","Green Thorntail","Discosura conversii","DISCON",NA,"green thorntail"
NA,"SCCO",NA,"Short-crested Coquette","Lophornis brachylophus","LOPBRA",NA,"short crested coquette"
NA,"RCRC","*","Rufous-crested Coquette","Lophornis delattrei","LOPDEL",NA,"rufous crested coquette"
NA,"BCCO",NA,"Black-crested Coquette","Lophornis helenae","LOPHEL",NA,"black crested coquette"
NA,"WCCO",NA,"White-crested Coquette","Lophornis adorabilis","LOPADO",NA,"white crested coquette"
NA,"GRPU",NA,"Greenish Puffleg","Haplophaedia aureliae","HAPAUR",NA,"greenish puffleg"
NA,"GCBR",NA,"Green-crowned Brilliant","Heliodoxa jacula","HELJAC",NA,"green crowned brilliant"
NA,"RIHU",NA,"Rivoli's Hummingbird","Eugenes fulgens","EUGFUL",NA,"rivolis hummingbird"
NA,"TAHU",NA,"Talamanca Hummingbird","Eugenes spectabilis","EUGSPE",NA,"talamanca hummingbird"
NA,"FTHU",NA,"Fiery-throated Hummingbird","Panterpe insignis","PANINS",NA,"fiery throated hummingbird"
NA,"LBST",NA,"Long-billed Starthroat","Heliomaster longirostris","HELLON",NA,"long billed starthroat"
NA,"PCST",NA,"Plain-capped Starthroat","Heliomaster constantii","HELCON",NA,"plain capped starthroat"
NA,"GTMG",NA,"Green-throated Mountain-gem","Lampornis viridipallens","LAMVIR",NA,"green throated mountain gem"
NA,"GBMG",NA,"Green-breasted Mountain-gem","Lampornis sybillae","LAMSYB",NA,"green breasted mountain gem"
NA,"ATHU",NA,"Amethyst-throated Hummingbird","Lampornis amethystinus","LAMAME",NA,"amethyst throated hummingbird"
NA,"BTHH","*","Blue-throated Hummingbird","Lampornis clemenciae","LAMCLE",NA,"blue throated hummingbird"
NA,"WBMG",NA,"White-bellied Mountain-gem","Lampornis hemileucus","LAMHEM",NA,"white bellied mountain gem"
NA,"PTMG",NA,"Purple-throated Mountain-gem","Lampornis calolaemus","LAMCAL",NA,"purple throated mountain gem"
NA,"WTMG",NA,"White-throated Mountain-gem","Lampornis castaneoventris","LAMCAS",NA,"white throated mountain gem"
NA,"GATH","*","Garnet-throated Hummingbird","Lamprolaima rhami","LAMRHA",NA,"garnet throated hummingbird"
NA,"BAWO",NA,"Bahama Woodstar","Calliphlox evelynae","CALEVE",NA,"bahama woodstar"
NA,"INWO",NA,"Inagua Woodstar","Calliphlox lyrura","CALLYR",NA,"inagua woodstar"
NA,"MTWO",NA,"Magenta-throated Woodstar","Calliphlox bryantae","CALBRY",NA,"magenta throated woodstar"
NA,"PTWO",NA,"Purple-throated Woodstar","Calliphlox mitchellii","CALMIT",NA,"purple throated woodstar"
NA,"SLSH",NA,"Slender Sheartail","Doricha enicura","DORENI",NA,"slender sheartail"
NA,"MESH",NA,"Mexican Sheartail","Doricha eliza","DORELI",NA,"mexican sheartail"
NA,"SKTH","*","Sparkling-tailed Hummingbird","Tilmatura dupontii","TILDUP",NA,"sparkling tailed hummingbird"
NA,"LUHU",NA,"Lucifer Hummingbird","Calothorax lucifer","CALLUC",NA,"lucifer hummingbird"
NA,"BEAH","*","Beautiful Hummingbird","Calothorax pulcher","CALPUL",NA,"beautiful hummingbird"
NA,"RTHU",NA,"Ruby-throated Hummingbird","Archilochus colubris","ARCCOL",NA,"ruby throated hummingbird"
NA,"BCHU",NA,"Black-chinned Hummingbird","Archilochus alexandri","ARCALE",NA,"black chinned hummingbird"
NA,"VEHU",NA,"Vervain Hummingbird","Mellisuga minima","MELMIN",NA,"vervain hummingbird"
NA,"BEEH","*","Bee Hummingbird","Mellisuga helenae","MELHEL",NA,"bee hummingbird"
NA,"ANHU",NA,"Anna's Hummingbird","Calypte anna","CALANN",NA,"annas hummingbird"
NA,"COHU",NA,"Costa's Hummingbird","Calypte costae","CALCOS",NA,"costas hummingbird"
NA,"BUHU",NA,"Bumblebee Hummingbird","Atthis heloisa","ATTHEL",NA,"bumblebee hummingbird"
NA,"WTHH","*","Wine-throated Hummingbird","Atthis ellioti","ATTELL",NA,"wine throated hummingbird"
NA,"BTAH","*","Broad-tailed Hummingbird","Selasphorus platycercus","SELPLA",NA,"broad tailed hummingbird"
NA,"RUHU",NA,"Rufous Hummingbird","Selasphorus rufus","SELRUF",NA,"rufous hummingbird"
NA,"ALHU",NA,"Allen's Hummingbird","Selasphorus sasin","SELSAS",NA,"allens hummingbird"
NA,"VOHU",NA,"Volcano Hummingbird","Selasphorus flammula","SELFLA",NA,"volcano hummingbird"
NA,"GLTH","*","Glow-throated Hummingbird","Selasphorus ardens","SELARD",NA,"glow throated hummingbird"
NA,"SCHU",NA,"Scintillant Hummingbird","Selasphorus scintilla","SELSCI",NA,"scintillant hummingbird"
NA,"CAHU",NA,"Calliope Hummingbird","Selasphorus calliope","SELCAL",NA,"calliope hummingbird"
"+","USHU",NA,"Unidentified Selasphorus Hummingbird","Selaphorus (sp)","SELSPS","*","unidentified selasphorus hummingbird"
NA,"GCEM",NA,"Golden-crowned Emerald","Chlorostilbon auriceps","CHLAUR",NA,"golden crowned emerald"
NA,"COEM",NA,"Cozumel Emerald","Chlorostilbon forficatus","CHLFOR",NA,"cozumel emerald"
NA,"CAEM",NA,"Canivet's Emerald","Chlorostilbon canivetii","CHLCAV","*","canivets emerald"
NA,"GAEM",NA,"Garden Emerald","Chlorostilbon assimilis","CHLASS",NA,"garden emerald"
NA,"CUEM",NA,"Cuban Emerald","Chlorostilbon ricordii","CHLRIC",NA,"cuban emerald"
NA,"BREM",NA,"Brace's Emerald","Chlorostilbon bracei","CHLBRA",NA,"braces emerald"
NA,"HIEM",NA,"Hispaniolan Emerald","Chlorostilbon swainsonii","CHLSWA",NA,"hispaniolan emerald"
NA,"PREM",NA,"Puerto Rican Emerald","Chlorostilbon maugaeus","CHLMAU",NA,"puerto rican emerald"
NA,"DUHU",NA,"Dusky Hummingbird","Cynanthus sordidus","CYNSOR",NA,"dusky hummingbird"
NA,"BBIH","*","Broad-billed Hummingbird","Cynanthus latirostris","CYNLAT",NA,"broad billed hummingbird"
NA,"BHHU",NA,"Blue-headed Hummingbird","Cyanophaia bicolor","CYABIC",NA,"blue headed hummingbird"
NA,"VHHU",NA,"Violet-headed Hummingbird","Klais guimeti","KLAGUI",NA,"violet headed hummingbird"
NA,"ECHU",NA,"Emerald-chinned Hummingbird","Abeillia abeillei","ABEABE",NA,"emerald chinned hummingbird"
NA,"ANCH","*","Antillean Crested Hummingbird","Orthorhyncus cristatus","ORTCRI",NA,"antillean crested hummingbird"
NA,"SBRH","*","Scaly-breasted Hummingbird","Phaeochroa cuvierii","PHACUV",NA,"scaly breasted hummingbird"
NA,"WTSA",NA,"Wedge-tailed Sabrewing","Campylopterus curvipennis","CAMCUR",NA,"wedge tailed sabrewing"
NA,"LTSA",NA,"Long-tailed Sabrewing","Campylopterus excellens","CAMEXC",NA,"long tailed sabrewing"
NA,"RUSA",NA,"Rufous Sabrewing","Campylopterus rufus","CAMRUS","*","rufous sabrewing"
NA,"VISA",NA,"Violet Sabrewing","Campylopterus hemileucurus","CAMHEM",NA,"violet sabrewing"
NA,"STHM","*","Stripe-tailed Hummingbird","Eupherusa eximia","EUPEXI",NA,"stripe tailed hummingbird"
NA,"BCAH","*","Blue-capped Hummingbird","Eupherusa cyanophrys","EUPCYP","*","blue capped hummingbird"
NA,"WTAH","*","White-tailed Hummingbird","Eupherusa poliocerca","EUPPOL",NA,"white tailed hummingbird"
NA,"BLBH","*","Black-bellied Hummingbird","Eupherusa nigriventris","EUPNIG",NA,"black bellied hummingbird"
NA,"WTEM",NA,"White-tailed Emerald","Elvira chionura","ELVCHI",NA,"white tailed emerald"
NA,"CHEM",NA,"Coppery-headed Emerald","Elvira cupreiceps","ELVCUP",NA,"coppery headed emerald"
NA,"SNOC","*","Snowcap","Microchera albocoronata","MICALB",NA,"snowcap"
NA,"WVPL",NA,"White-vented Plumeleteer","Chalybura buffonii","CHABUF",NA,"white vented plumeleteer"
NA,"BTPL",NA,"Bronze-tailed Plumeleteer","Chalybura urochrysia","CHAURO",NA,"bronze tailed plumeleteer"
NA,"MEWO",NA,"Mexican Woodnymph","Thalurania ridgwayi","THARID",NA,"mexican woodnymph"
NA,"CRWO",NA,"Crowned Woodnymph","Thalurania colombica","THACOL",NA,"crowned woodnymph"
NA,"WBEM",NA,"White-bellied Emerald","Amazilia candida","AMACAN",NA,"white bellied emerald"
NA,"HOEM",NA,"Honduran Emerald","Amazilia luciae","AMALUC",NA,"honduran emerald"
NA,"BCHH","*","Blue-chested Hummingbird","Amazilia amabilis","AMAAMB","*","blue chested hummingbird"
NA,"CHHU",NA,"Charming Hummingbird","Amazilia decora","AMADEC",NA,"charming hummingbird"
NA,"MAHU",NA,"Mangrove Hummingbird","Amazilia boucardi","AMABOU",NA,"mangrove hummingbird"
NA,"AZCH","*","Azure-crowned Hummingbird","Amazilia cyanocephala","AMACYC","*","azure crowned hummingbird"
NA,"BEHU",NA,"Berylline Hummingbird","Amazilia beryllina","AMABER",NA,"berylline hummingbird"
NA,"BTLH","*","Blue-tailed Hummingbird","Amazilia cyanura","AMACYR","*","blue tailed hummingbird"
NA,"SVHU",NA,"Steely-vented Hummingbird","Amazilia saucerottei","AMASAU",NA,"steely vented hummingbird"
NA,"SBEH","*","Snowy-bellied Hummingbird","Amazilia edward","AMAEDW",NA,"snowy bellied hummingbird"
NA,"RTAH","*","Rufous-tailed Hummingbird","Amazilia tzacatl","AMATZA",NA,"rufous tailed hummingbird"
NA,"BBEH","*","Buff-bellied Hummingbird","Amazilia yucatanensis","AMAYUC",NA,"buff bellied hummingbird"
NA,"CIHU",NA,"Cinnamon Hummingbird","Amazilia rutila","AMARUT",NA,"cinnamon hummingbird"
NA,"VCHU",NA,"Violet-crowned Hummingbird","Amazilia violiceps","AMAVIO",NA,"violet crowned hummingbird"
NA,"GFHU",NA,"Green-fronted Hummingbird","Amazilia viridifrons","AMAVIF","*","green fronted hummingbird"
NA,"STRM","*","Streamertail","Trochilus polytmus","TROPOL",NA,"streamertail"
NA,"PIHU",NA,"Pirre Hummingbird","Goethalsia bella","GOEBEL",NA,"pirre hummingbird"
NA,"VCAH","*","Violet-capped Hummingbird","Goldmania violiceps","GOLVIO",NA,"violet capped hummingbird"
NA,"SHTH","*","Sapphire-throated Hummingbird","Lepidopyga coeruleogularis","LEPCOE",NA,"sapphire throated hummingbird"
NA,"VBHU",NA,"Violet-bellied Hummingbird","Juliamyia julie","JULJUL",NA,"violet bellied hummingbird"
NA,"HUSA",NA,"Humboldt's Sapphire","Hylocharis humboldtii","HYLHUM",NA,"humboldts sapphire"
NA,"BTRG","*","Blue-throated Goldentail","Hylocharis eliciae","HYLELI",NA,"blue throated goldentail"
NA,"WEHU",NA,"White-eared Hummingbird","Hylocharis leucotis","HYLLEU",NA,"white eared hummingbird"
NA,"XAHU",NA,"Xantus's Hummingbird","Hylocharis xantusii","HYLXAN",NA,"xantuss hummingbird"
"+","UNHU",NA,"Unidentified Hummingbird","Trochilidae (gen, sp)","TRCGSP","*","unidentified hummingbird"
NA,"YERA",NA,"Yellow Rail","Coturnicops noveboracensis","COTNOV",NA,"yellow rail"
NA,"OCCR",NA,"Ocellated Crake","Micropygia schomburgkii","MICSCH",NA,"ocellated crake"
NA,"RUCR",NA,"Ruddy Crake","Laterallus ruber","LATRUB",NA,"ruddy crake"
NA,"WTCR",NA,"White-throated Crake","Laterallus albigularis","LATALB",NA,"white throated crake"
NA,"GBCR",NA,"Gray-breasted Crake","Laterallus exilis","LATEXI",NA,"gray breasted crake"
NA,"BLRA",NA,"Black Rail","Laterallus jamaicensis","LATJAM",NA,"black rail"
NA,"CORC","*","Corn Crake","Crex crex","CRECRE",NA,"corn crake"
NA,"RIRA",NA,"Ridgway's Rail","Rallus obsoletus","RALOBS",NA,"ridgways rail"
NA,"CLRA",NA,"Clapper Rail","Rallus crepitans","RALCRE",NA,"clapper rail"
NA,"AZRA",NA,"Aztec Rail","Rallus tenuirostris","RALTEN",NA,"aztec rail"
NA,"MARA",NA,"Mangrove Rail","Rallus longirostris","RALLON",NA,"mangrove rail"
NA,"KIRA",NA,"King Rail","Rallus elegans","RALELE",NA,"king rail"
NA,"VIRA",NA,"Virginia Rail","Rallus limicola","RALLIM",NA,"virginia rail"
NA,"WEWR",NA,"Western Water-Rail","Rallus aquaticus","RALAQU",NA,"western water rail"
NA,"RNWR",NA,"Rufous-necked Wood-Rail","Aramides axillaris","ARAAXI",NA,"rufous necked wood rail"
NA,"RSWR","*","Russet-naped Wood-Rail","Aramides albiventris","ARAALB",NA,"russet naped wood rail"
NA,"GCWR",NA,"Gray-cowled Wood-Rail","Aramides cajaneus","ARACAJ",NA,"gray cowled wood rail"
NA,"UNIC","*","Uniform Crake","Amaurolimnas concolor","AMLCON","*","uniform crake"
NA,"SORA",NA,"Sora","Porzana carolina","PORCAR",NA,"sora"
NA,"SPCR",NA,"Spotted Crake","Porzana porzana","PORPOZ","*","spotted crake"
NA,"LARA",NA,"Laysan Rail","Zapornia palmeri","ZAPPAL",NA,"laysan rail"
NA,"HARA",NA,"Hawaiian Rail","Zapornia sandwichensis","ZAPSAN",NA,"hawaiian rail"
NA,"YBCR",NA,"Yellow-breasted Crake","Hapalocrex flaviventer","HAPFLA",NA,"yellow breasted crake"
NA,"COLC","*","Colombian Crake","Neocrex colombiana","NEOCOL",NA,"colombian crake"
NA,"PBCR",NA,"Paint-billed Crake","Neocrex erythrops","NEOERY",NA,"paint billed crake"
NA,"ZARA",NA,"Zapata Rail","Cyanolimnas cerverai","CYACER",NA,"zapata rail"
NA,"SPRA",NA,"Spotted Rail","Pardirallus maculatus","PARMAS","*","spotted rail"
NA,"PUGA",NA,"Purple Gallinule","Porphyrio martinicus","PORMAR",NA,"purple gallinule"
NA,"AZGA",NA,"Azure Gallinule","Porphyrio flavirostris","PORFLA",NA,"azure gallinule"
NA,"PUSW",NA,"Purple Swamphen","Porphyrio porphyrio","PORPOP","*","purple swamphen"
NA,"COGA",NA,"Common Gallinule","Gallinula galeata","GALGAT","*","common gallinule"
"+","HAGA",NA,"Hawaiian Gallinule","Gallinula gallinula sandvicensis","GALGSA",NA,"hawaiian gallinule"
NA,"COMO",NA,"Common Moorhen","Gallinula chloropus","GALCHL",NA,"common moorhen"
NA,"EUCO",NA,"Eurasian Coot","Fulica atra","FULATR",NA,"eurasian coot"
NA,"HACO",NA,"Hawaiian Coot","Fulica alai","FULALA",NA,"hawaiian coot"
NA,"AMCO",NA,"American Coot","Fulica americana","FULAME",NA,"american coot"
NA,"SUNG",NA,"Sungrebe","Heliornis fulica","HELFUL",NA,"sungrebe"
NA,"LIMP",NA,"Limpkin","Aramus guarauna","ARAGUA",NA,"limpkin"
NA,"SACR",NA,"Sandhill Crane","Antigone canadensis","ANTCAN",NA,"sandhill crane"
NA,"CCRA","*","Common Crane","Grus grus","GRUGRU",NA,"common crane"
NA,"WHCR",NA,"Whooping Crane","Grus americana","GRUAME",NA,"whooping crane"
NA,"DSTK",NA,"Double-striped Thick-knee","Burhinus bistriatus","BURBIS",NA,"double striped thick knee"
NA,"BWST",NA,"Black-winged Stilt","Himantopus himantopus","HIMHIM",NA,"black winged stilt"
NA,"BNST",NA,"Black-necked Stilt","Himantopus mexicanus","HIMMEX",NA,"black necked stilt"
"+","HAST",NA,"Hawaiian Stilt","Himantopus mexicanus knudseni","HIMMKN",NA,"hawaiian stilt"
NA,"AMAV",NA,"American Avocet","Recurvirostra americana","RECAME",NA,"american avocet"
NA,"EUOY",NA,"Eurasian Oystercatcher","Haematopus ostralegus","HAEOST",NA,"eurasian oystercatcher"
NA,"AMOY",NA,"American Oystercatcher","Haematopus palliatus","HAEPAL",NA,"american oystercatcher"
NA,"BLOY",NA,"Black Oystercatcher","Haematopus bachmani","HAEBAC",NA,"black oystercatcher"
NA,"NOLA",NA,"Northern Lapwing","Vanellus vanellus","VANVAN",NA,"northern lapwing"
NA,"SOLA",NA,"Southern Lapwing","Vanellus chilensis","VANCHI",NA,"southern lapwing"
NA,"BBPL",NA,"Black-bellied Plover","Pluvialis squatarola","PLUSQU",NA,"black bellied plover"
NA,"EUGP",NA,"European Golden-Plover","Pluvialis apricaria","PLUAPR",NA,"european golden plover"
NA,"AMGP",NA,"American Golden-Plover","Pluvialis dominica","PLUDOM",NA,"american golden plover"
"+","LEGP",NA,"Lesser Golden-Plover","Pluvialis dominica/fulva","PLUDOF",NA,"lesser golden plover"
NA,"PAGP",NA,"Pacific Golden-Plover","Pluvialis fulva","PLUFUL",NA,"pacific golden plover"
NA,"LSAP","*","Lesser Sand-Plover","Charadrius mongolus","CHAMOG","*","lesser sand plover"
NA,"GSAP","*","Greater Sand-Plover","Charadrius leschenaultii","CHALES",NA,"greater sand plover"
NA,"COPL",NA,"Collared Plover","Charadrius collaris","CHACOL",NA,"collared plover"
NA,"SNPL",NA,"Snowy Plover","Charadrius nivosus","CHANIV",NA,"snowy plover"
NA,"WIPL",NA,"Wilson's Plover","Charadrius wilsonia","CHAWIL",NA,"wilsons plover"
NA,"CRPL",NA,"Common Ringed Plover","Charadrius hiaticula","CHAHIA",NA,"common ringed plover"
NA,"SEPL",NA,"Semipalmated Plover","Charadrius semipalmatus","CHASEM",NA,"semipalmated plover"
NA,"PIPL",NA,"Piping Plover","Charadrius melodus","CHAMEL",NA,"piping plover"
NA,"LRPL",NA,"Little Ringed Plover","Charadrius dubius","CHADUB",NA,"little ringed plover"
NA,"KILL",NA,"Killdeer","Charadrius vociferus","CHAVOC",NA,"killdeer"
NA,"ORPL",NA,"Oriental Plover","Charadrius veredus","CHAVER",NA,"oriental plover"
NA,"MOPL",NA,"Mountain Plover","Charadrius montanus","CHAMOT","*","mountain plover"
NA,"EUDO",NA,"Eurasian Dotterel","Charadrius morinellus","CHAMOR",NA,"eurasian dotterel"
NA,"NOJA",NA,"Northern Jacana","Jacana spinosa","JACSPI",NA,"northern jacana"
NA,"WAJA",NA,"Wattled Jacana","Jacana jacana","JACJAC",NA,"wattled jacana"
NA,"UPSA",NA,"Upland Sandpiper","Bartramia longicauda","BARLON",NA,"upland sandpiper"
NA,"BTCU",NA,"Bristle-thighed Curlew","Numenius tahitiensis","NUMTAH",NA,"bristle thighed curlew"
NA,"WHIM",NA,"Whimbrel","Numenius phaeopus","NUMPHA",NA,"whimbrel"
NA,"LICU",NA,"Little Curlew","Numenius minutus","NUMMIN",NA,"little curlew"
NA,"ESCU",NA,"Eskimo Curlew","Numenius borealis","NUMBOR",NA,"eskimo curlew"
NA,"LBCU",NA,"Long-billed Curlew","Numenius americanus","NUMAME",NA,"long billed curlew"
NA,"FECU",NA,"Far Eastern Curlew","Numenius madagascariensis","NUMMAD",NA,"far eastern curlew"
NA,"SBCU",NA,"Slender-billed Curlew","Numenius tenuirostris","NUMTEN",NA,"slender billed curlew"
NA,"EUCU",NA,"Eurasian Curlew","Numenius arquata","NUMARQ",NA,"eurasian curlew"
